minute,result,X,Y,xG,player,h_a,situation,season,shotType,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
86,MissedShots,0.818000031,0.519000015,0.044897899,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Crystal Palace,1,1,2022-08-15 19:00:00,,Rebound
39,BlockedShot,0.865,0.419000015,0.070415303,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Manchester United,Liverpool,2,1,2022-08-22 19:00:00,Roberto Firmino,Pass
48,MissedShots,0.85,0.612000008,0.037028201,Mohamed Salah,a,FromCorner,2022,LeftFoot,Manchester United,Liverpool,2,1,2022-08-22 19:00:00,Trent Alexander-Arnold,Cross
80,Goal,0.956999969,0.41,0.043011699,Mohamed Salah,a,FromCorner,2022,Head,Manchester United,Liverpool,2,1,2022-08-22 19:00:00,,None
15,MissedShots,0.983000031,0.480999985,0.969824016,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Bournemouth,9,0,2022-08-27 14:00:00,Harvey Elliott,Pass
18,SavedShot,0.935999985,0.375,0.137584001,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Bournemouth,9,0,2022-08-27 14:00:00,Roberto Firmino,Throughball
41,MissedShots,0.886999969,0.655999985,0.047598802,Mohamed Salah,h,FromCorner,2022,LeftFoot,Liverpool,Bournemouth,9,0,2022-08-27 14:00:00,,None
74,MissedShots,0.918000031,0.484000015,0.586347997,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Bournemouth,9,0,2022-08-27 14:00:00,Fabinho,Throughball
45,MissedShots,0.779000015,0.156999998,0.00850331,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Newcastle United,2,1,2022-08-31 19:00:00,Trent Alexander-Arnold,Chipped
96,BlockedShot,0.935999985,0.311000004,0.0614895,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Newcastle United,2,1,2022-08-31 19:00:00,Roberto Firmino,Pass
93,BlockedShot,0.828000031,0.34,0.040844701,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Everton,Liverpool,0,0,2022-09-03 11:30:00,Diogo Jota,Pass
94,SavedShot,0.896999969,0.375,0.099544398,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Everton,Liverpool,0,0,2022-09-03 11:30:00,Luis Día,Pass
94,MissedShots,0.935,0.359000015,0.071592897,Mohamed Salah,a,OpenPlay,2022,LeftFoot,Everton,Liverpool,0,0,2022-09-03 11:30:00,Diogo Jota,Rebound
13,SavedShot,0.861999969,0.262000008,0.028914399,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Brighton,3,3,2022-10-01 14:00:00,Roberto Firmino,Pass
25,BlockedShot,0.834000015,0.370999985,0.034053899,Mohamed Salah,h,FromCorner,2022,LeftFoot,Liverpool,Brighton,3,3,2022-10-01 14:00:00,,None
30,SavedShot,0.93,0.404000015,0.323819995,Mohamed Salah,h,OpenPlay,2022,RightFoot,Liverpool,Brighton,3,3,2022-10-01 14:00:00,,None
32,MissedShots,0.876999969,0.554000015,0.271032006,Mohamed Salah,h,OpenPlay,2022,LeftFoot,Liverpool,Brighton,3,3,2022-10-01 14:00:00,Jordan Henderson,Chipped
